home_team,away_team,home_goals,away_goals,result,season,total_goals
Tottenham Hotspur,Manchester City,0.0,0.0,D,2010-2011,0.0
Aston Villa,West Ham United,3.0,0.0,H,2010-2011,3.0
Blackburn Rovers,Everton,1.0,0.0,H,2010-2011,1.0
Bolton Wanderers,Fulham,0.0,0.0,D,2010-2011,0.0
Sunderland,Birmingham City,2.0,2.0,D,2010-2011,4.0
Wigan Athletic,Blackpool,0.0,4.0,A,2010-2011,4.0
Wolverhampton Wanderers,Stoke City,2.0,1.0,H,2010-2011,3.0
Chelsea,West Bromwich Albion,6.0,0.0,H,2010-2011,6.0
Liverpool,Arsenal,1.0,1.0,D,2010-2011,2.0
Manchester United,Newcastle United,3.0,0.0,H,2010-2011,3.0
Arsenal,Blackpool,6.0,0.0,H,2010-2011,6.0
Birmingham City,Blackburn Rovers,2.0,1.0,H,2010-2011,3.0
Everton,Wolverhampton Wanderers,1.0,1.0,D,2010-2011,2.0
Stoke City,Tottenham Hotspur,1.0,2.0,A,2010-2011,3.0
West Bromwich Albion,Sunderland,1.0,0.0,H,2010-2011,1.0
West Ham United,Bolton Wanderers,1.0,3.0,A,2010-2011,4.0
Wigan Athletic,Chelsea,0.0,6.0,A,2010-2011,6.0
Newcastle United,Aston Villa,6.0,0.0,H,2010-2011,6.0
Fulham,Manchester United,2.0,2.0,D,2010-2011,4.0
Manchester City,Liverpool,3.0,0.0,H,2010-2011,3.0
Blackburn Rovers,Arsenal,1.0,2.0,A,2010-2011,3.0
Blackpool,Fulham,2.0,2.0,D,2010-2011,4.0
Chelsea,Stoke City,2.0,0.0,H,2010-2011,2.0
Tottenham Hotspur,Wigan Athletic,0.0,1.0,A,2010-2011,1.0
Wolverhampton Wanderers,Newcastle United,1.0,1.0,D,2010-2011,2.0
Manchester United,West Ham United,3.0,0.0,H,2010-2011,3.0
Bolton Wanderers,Birmingham City,2.0,2.0,D,2010-2011,4.0
Liverpool,West Bromwich Albion,1.0,0.0,H,2010-2011,1.0
Sunderland,Manchester City,1.0,0.0,H,2010-2011,1.0
Aston Villa,Everton,1.0,0.0,H,2010-2011,1.0
Everton,Manchester United,3.0,3.0,D,2010-2011,6.0
Arsenal,Bolton Wanderers,4.0,1.0,H,2010-2011,5.0
Fulham,Wolverhampton Wanderers,2.0,1.0,H,2010-2011,3.0
Manchester City,Blackburn Rovers,1.0,1.0,D,2010-2011,2.0
Newcastle United,Blackpool,0.0,2.0,A,2010-2011,2.0
West Bromwich Albion,Tottenham Hotspur,1.0,1.0,D,2010-2011,2.0
West Ham United,Chelsea,1.0,3.0,A,2010-2011,4.0
Wigan Athletic,Sunderland,1.0,1.0,D,2010-2011,2.0
Birmingham City,Liverpool,0.0,0.0,D,2010-2011,0.0
Stoke City,Aston Villa,2.0,1.0,H,2010-2011,3.0
Stoke City,West Ham United,1.0,1.0,D,2010-2011,2.0
Aston Villa,Bolton Wanderers,1.0,1.0,D,2010-2011,2.0
Blackburn Rovers,Fulham,1.0,1.0,D,2010-2011,2.0
Everton,Newcastle United,0.0,1.0,A,2010-2011,1.0
Tottenham Hotspur,Wolverhampton Wanderers,3.0,1.0,H,2010-2011,4.0
West Bromwich Albion,Birmingham City,3.0,1.0,H,2010-2011,4.0
Sunderland,Arsenal,1.0,1.0,D,2010-2011,2.0
Manchester United,Liverpool,3.0,2.0,H,2010-2011,5.0
Wigan Athletic,Manchester City,0.0,2.0,A,2010-2011,2.0
Chelsea,Blackpool,4.0,0.0,H,2010-2011,4.0
Manchester City,Chelsea,1.0,0.0,H,2010-2011,1.0
Arsenal,West Bromwich Albion,2.0,3.0,A,2010-2011,5.0
Birmingham City,Wigan Athletic,0.0,0.0,D,2010-2011,0.0
Blackpool,Blackburn Rovers,1.0,2.0,A,2010-2011,3.0
Fulham,Everton,0.0,0.0,D,2010-2011,0.0
Liverpool,Sunderland,2.0,2.0,D,2010-2011,4.0
West Ham United,Tottenham Hotspur,1.0,0.0,H,2010-2011,1.0
Bolton Wanderers,Manchester United,2.0,2.0,D,2010-2011,4.0
Wolverhampton Wanderers,Aston Villa,1.0,2.0,A,2010-2011,3.0
Newcastle United,Stoke City,1.0,2.0,A,2010-2011,3.0
Wigan Athletic,Wolverhampton Wanderers,2.0,0.0,H,2010-2011,2.0
Birmingham City,Everton,0.0,2.0,A,2010-2011,2.0
Stoke City,Blackburn Rovers,1.0,0.0,H,2010-2011,1.0
Sunderland,Manchester United,0.0,0.0,D,2010-2011,0.0
Tottenham Hotspur,Aston Villa,2.0,1.0,H,2010-2011,3.0
West Bromwich Albion,Bolton Wanderers,1.0,1.0,D,2010-2011,2.0
West Ham United,Fulham,1.0,1.0,D,2010-2011,2.0
Manchester City,Newcastle United,2.0,1.0,H,2010-2011,3.0
Liverpool,Blackpool,1.0,2.0,A,2010-2011,3.0
Chelsea,Arsenal,2.0,0.0,H,2010-2011,2.0
Arsenal,Birmingham City,2.0,1.0,H,2010-2011,3.0
Bolton Wanderers,Stoke City,2.0,1.0,H,2010-2011,3.0
Fulham,Tottenham Hotspur,1.0,2.0,A,2010-2011,3.0
Manchester United,West Bromwich Albion,2.0,2.0,D,2010-2011,4.0
Newcastle United,Wigan Athletic,2.0,2.0,D,2010-2011,4.0
Wolverhampton Wanderers,West Ham United,1.0,1.0,D,2010-2011,2.0
Aston Villa,Chelsea,0.0,0.0,D,2010-2011,0.0
Everton,Liverpool,2.0,0.0,H,2010-2011,2.0
Blackpool,Manchester City,2.0,3.0,A,2010-2011,5.0
Blackburn Rovers,Sunderland,0.0,0.0,D,2010-2011,0.0
Tottenham Hotspur,Everton,1.0,1.0,D,2010-2011,2.0
Birmingham City,Blackpool,2.0,0.0,H,2010-2011,2.0
Chelsea,Wolverhampton Wanderers,2.0,0.0,H,2010-2011,2.0
Sunderland,Aston Villa,1.0,0.0,H,2010-2011,1.0
West Bromwich Albion,Fulham,2.0,1.0,H,2010-2011,3.0
Wigan Athletic,Bolton Wanderers,1.0,1.0,D,2010-2011,2.0
West Ham United,Newcastle United,1.0,2.0,A,2010-2011,3.0
Stoke City,Manchester United,1.0,2.0,A,2010-2011,3.0
