home_team,away_team,home_goals,away_goals,result,season,total_goals
Arsenal,West Bromwich Albion,1.0,0.0,H,2008-2009,1.0
Bolton Wanderers,Stoke City,3.0,1.0,H,2008-2009,4.0
Everton,Blackburn Rovers,2.0,3.0,A,2008-2009,5.0
Hull City,Fulham,2.0,1.0,H,2008-2009,3.0
Middlesbrough,Tottenham Hotspur,2.0,1.0,H,2008-2009,3.0
West Ham United,Wigan Athletic,2.0,1.0,H,2008-2009,3.0
Sunderland,Liverpool,0.0,1.0,A,2008-2009,1.0
Chelsea,Portsmouth,4.0,0.0,H,2008-2009,4.0
Aston Villa,Manchester City,4.0,2.0,H,2008-2009,6.0
Manchester United,Newcastle United,1.0,1.0,D,2008-2009,2.0
Blackburn Rovers,Hull City,1.0,1.0,D,2008-2009,2.0
Liverpool,Middlesbrough,2.0,1.0,H,2008-2009,3.0
Newcastle United,Bolton Wanderers,1.0,0.0,H,2008-2009,1.0
Stoke City,Aston Villa,3.0,2.0,H,2008-2009,5.0
Tottenham Hotspur,Sunderland,1.0,2.0,A,2008-2009,3.0
West Bromwich Albion,Everton,1.0,2.0,A,2008-2009,3.0
Fulham,Arsenal,1.0,0.0,H,2008-2009,1.0
Wigan Athletic,Chelsea,0.0,1.0,A,2008-2009,1.0
Manchester City,West Ham United,3.0,0.0,H,2008-2009,3.0
Portsmouth,Manchester United,0.0,1.0,A,2008-2009,1.0
Bolton Wanderers,West Bromwich Albion,0.0,0.0,D,2008-2009,0.0
Everton,Portsmouth,0.0,3.0,A,2008-2009,3.0
Hull City,Wigan Athletic,0.0,5.0,A,2008-2009,5.0
Middlesbrough,Stoke City,2.0,1.0,H,2008-2009,3.0
West Ham United,Blackburn Rovers,4.0,1.0,H,2008-2009,5.0
Arsenal,Newcastle United,3.0,0.0,H,2008-2009,3.0
Chelsea,Tottenham Hotspur,1.0,1.0,D,2008-2009,2.0
Sunderland,Manchester City,0.0,3.0,A,2008-2009,3.0
Aston Villa,Liverpool,0.0,0.0,D,2008-2009,0.0
Liverpool,Manchester United,2.0,1.0,H,2008-2009,3.0
Blackburn Rovers,Arsenal,0.0,4.0,A,2008-2009,4.0
Fulham,Bolton Wanderers,2.0,1.0,H,2008-2009,3.0
Newcastle United,Hull City,1.0,2.0,A,2008-2009,3.0
