home_team,total,wins,losses,prop,draws,season
Manchester United,38,28,5,0.7368421052631579,5,2012-2013
Manchester City,38,23,6,0.6052631578947368,9,2012-2013
Chelsea,38,22,7,0.5789473684210527,9,2012-2013
Tottenham Hotspur,38,21,8,0.5526315789473685,9,2012-2013
Arsenal,38,21,7,0.5526315789473685,10,2012-2013
Everton,38,16,7,0.42105263157894735,15,2012-2013
Liverpool,38,16,9,0.42105263157894735,13,2012-2013
West Bromwich Albion,38,14,17,0.3684210526315789,7,2012-2013
West Ham United,38,12,16,0.3157894736842105,10,2012-2013
Swansea City,38,11,14,0.2894736842105263,13,2012-2013
Fulham,38,11,17,0.2894736842105263,10,2012-2013
Newcastle United,38,11,19,0.2894736842105263,8,2012-2013
Aston Villa,38,10,17,0.2631578947368421,11,2012-2013
Norwich City,38,10,14,0.2631578947368421,14,2012-2013
Wigan Athletic,38,9,20,0.23684210526315788,9,2012-2013
Southampton,38,9,15,0.23684210526315788,14,2012-2013
Stoke City,38,9,14,0.23684210526315788,15,2012-2013
Sunderland,38,9,17,0.23684210526315788,12,2012-2013
Reading,38,6,22,0.15789473684210525,10,2012-2013
Queens Park Rangers,38,4,21,0.10526315789473684,13,2012-2013
