home_team,total,wins,losses,prop,draws,season,goals,goals_per_game,Goals_Against,cleansheets
Manchester United,38,27,5,0.7105263157894737,6,2007-2008,80.0,2.1052631578947367,22.0,21
Chelsea,38,25,3,0.6578947368421053,10,2007-2008,65.0,1.7105263157894737,26.0,21
Arsenal,38,24,3,0.631578947368421,11,2007-2008,74.0,1.9473684210526316,31.0,15
Liverpool,38,21,4,0.5526315789473685,13,2007-2008,67.0,1.763157894736842,28.0,18
Everton,38,19,11,0.5,8,2007-2008,55.0,1.4473684210526316,33.0,14
Aston Villa,38,16,10,0.42105263157894735,12,2007-2008,71.0,1.868421052631579,51.0,9
Portsmouth,38,16,13,0.42105263157894735,9,2007-2008,48.0,1.263157894736842,40.0,16
Manchester City,38,15,13,0.39473684210526316,10,2007-2008,45.0,1.1842105263157894,53.0,11
Blackburn Rovers,38,15,10,0.39473684210526316,13,2007-2008,50.0,1.3157894736842106,48.0,8
West Ham United,38,13,15,0.34210526315789475,10,2007-2008,42.0,1.105263157894737,50.0,8
Tottenham Hotspur,38,11,14,0.2894736842105263,13,2007-2008,66.0,1.736842105263158,61.0,9
Newcastle United,38,11,17,0.2894736842105263,10,2007-2008,45.0,1.1842105263157894,65.0,8
Sunderland,38,11,21,0.2894736842105263,6,2007-2008,36.0,0.9473684210526315,59.0,7
Reading,38,10,22,0.2631578947368421,6,2007-2008,41.0,1.0789473684210527,66.0,8
Wigan Athletic,38,10,18,0.2631578947368421,10,2007-2008,34.0,0.8947368421052632,51.0,12
Middlesbrough,38,10,16,0.2631578947368421,12,2007-2008,43.0,1.131578947368421,53.0,8
Bolton Wanderers,38,9,19,0.23684210526315788,10,2007-2008,36.0,0.9473684210526315,54.0,12
Fulham,38,8,18,0.21052631578947367,12,2007-2008,38.0,1.0,60.0,7
Birmingham City,38,8,19,0.21052631578947367,11,2007-2008,46.0,1.2105263157894737,62.0,3
Derby County,38,1,29,0.02631578947368421,8,2007-2008,20.0,0.5263157894736842,89.0,3
