home_team,away_team,home_goals,away_goals,result,season,total_goals
Chelsea,Hull City,2.0,1.0,H,2009-2010,3.0
Aston Villa,Wigan Athletic,0.0,2.0,A,2009-2010,2.0
Blackburn Rovers,Manchester City,0.0,2.0,A,2009-2010,2.0
Bolton Wanderers,Sunderland,0.0,1.0,A,2009-2010,1.0
Portsmouth,Fulham,0.0,1.0,A,2009-2010,1.0
Stoke City,Burnley,2.0,0.0,H,2009-2010,2.0
Wolverhampton Wanderers,West Ham United,0.0,2.0,A,2009-2010,2.0
Everton,Arsenal,1.0,6.0,A,2009-2010,7.0
Manchester United,Birmingham City,1.0,0.0,H,2009-2010,1.0
Tottenham Hotspur,Liverpool,2.0,1.0,H,2009-2010,3.0
Sunderland,Chelsea,1.0,3.0,A,2009-2010,4.0
Wigan Athletic,Wolverhampton Wanderers,0.0,1.0,A,2009-2010,1.0
Birmingham City,Portsmouth,1.0,0.0,H,2009-2010,1.0
Burnley,Manchester United,1.0,0.0,H,2009-2010,1.0
Hull City,Tottenham Hotspur,1.0,5.0,A,2009-2010,6.0
Liverpool,Stoke City,4.0,0.0,H,2009-2010,4.0
Arsenal,Portsmouth,4.0,1.0,H,2009-2010,5.0
Birmingham City,Stoke City,0.0,0.0,D,2009-2010,0.0
Hull City,Bolton Wanderers,1.0,0.0,H,2009-2010,1.0
Manchester City,Wolverhampton Wanderers,1.0,0.0,H,2009-2010,1.0
Sunderland,Blackburn Rovers,2.0,1.0,H,2009-2010,3.0
Wigan Athletic,Manchester United,0.0,5.0,A,2009-2010,5.0
West Ham United,Tottenham Hotspur,1.0,2.0,A,2009-2010,3.0
Burnley,Everton,1.0,0.0,H,2009-2010,1.0
Fulham,Chelsea,0.0,2.0,A,2009-2010,2.0
Liverpool,Aston Villa,1.0,3.0,A,2009-2010,4.0
Chelsea,Burnley,3.0,0.0,H,2009-2010,3.0
Blackburn Rovers,West Ham United,0.0,0.0,D,2009-2010,0.0
Bolton Wanderers,Liverpool,2.0,3.0,A,2009-2010,5.0
Stoke City,Sunderland,1.0,0.0,H,2009-2010,1.0
Tottenham Hotspur,Birmingham City,2.0,1.0,H,2009-2010,3.0
Wolverhampton Wanderers,Hull City,1.0,1.0,D,2009-2010,2.0
Manchester United,Arsenal,2.0,1.0,H,2009-2010,3.0
Portsmouth,Manchester City,0.0,1.0,A,2009-2010,1.0
Everton,Wigan Athletic,2.0,1.0,H,2009-2010,3.0
