home_team,away_team,home_goals,away_goals,result,season,total_goals
Portsmouth,Reading,3.0,1.0,H,2006-2007,4.0
Watford,Tottenham Hotspur,0.0,0.0,D,2006-2007,0.0
Newcastle United,Charlton Athletic,0.0,0.0,D,2006-2007,0.0
West Ham United,Blackburn Rovers,2.0,1.0,H,2006-2007,3.0
Manchester City,Middlesbrough,1.0,0.0,H,2006-2007,1.0
Fulham,Everton,1.0,0.0,H,2006-2007,1.0
Bolton Wanderers,Wigan Athletic,0.0,1.0,A,2006-2007,1.0
Charlton Athletic,Manchester City,1.0,0.0,H,2006-2007,1.0
Liverpool,Reading,2.0,0.0,H,2006-2007,2.0
Manchester United,Portsmouth,3.0,0.0,H,2006-2007,3.0
Watford,Middlesbrough,2.0,0.0,H,2006-2007,2.0
Newcastle United,Sheffield United,0.0,1.0,A,2006-2007,1.0
West Ham United,Arsenal,1.0,0.0,H,2006-2007,1.0
Aston Villa,Blackburn Rovers,2.0,0.0,H,2006-2007,2.0
Tottenham Hotspur,Chelsea,2.0,1.0,H,2006-2007,3.0
Manchester City,Newcastle United,0.0,0.0,D,2006-2007,0.0
Chelsea,Watford,4.0,0.0,H,2006-2007,4.0
Everton,Aston Villa,0.0,1.0,A,2006-2007,1.0
Middlesbrough,West Ham United,1.0,0.0,H,2006-2007,1.0
Portsmouth,Fulham,1.0,1.0,D,2006-2007,2.0
Sheffield United,Bolton Wanderers,2.0,2.0,D,2006-2007,4.0
Wigan Athletic,Charlton Athletic,3.0,2.0,H,2006-2007,5.0
Blackburn Rovers,Manchester United,0.0,1.0,A,2006-2007,1.0
Reading,Tottenham Hotspur,3.0,1.0,H,2006-2007,4.0
Arsenal,Liverpool,3.0,0.0,H,2006-2007,3.0
Manchester City,Fulham,3.0,1.0,H,2006-2007,4.0
Arsenal,Newcastle United,1.0,1.0,D,2006-2007,2.0
Chelsea,West Ham United,1.0,0.0,H,2006-2007,1.0
Everton,Bolton Wanderers,1.0,0.0,H,2006-2007,1.0
Portsmouth,Watford,2.0,1.0,H,2006-2007,3.0
Reading,Charlton Athletic,2.0,0.0,H,2006-2007,2.0
Sheffield United,Manchester United,1.0,2.0,A,2006-2007,3.0
Middlesbrough,Liverpool,0.0,0.0,D,2006-2007,0.0
Wigan Athletic,Aston Villa,0.0,0.0,D,2006-2007,0.0
Blackburn Rovers,Tottenham Hotspur,1.0,1.0,D,2006-2007,2.0
Charlton Athletic,Everton,1.0,1.0,D,2006-2007,2.0
Aston Villa,Middlesbrough,1.0,1.0,D,2006-2007,2.0
Fulham,Reading,0.0,1.0,A,2006-2007,1.0
Liverpool,Manchester City,1.0,0.0,H,2006-2007,1.0
West Ham United,Sheffield United,1.0,0.0,H,2006-2007,1.0
Bolton Wanderers,Arsenal,3.0,1.0,H,2006-2007,4.0
Newcastle United,Portsmouth,1.0,0.0,H,2006-2007,1.0
Tottenham Hotspur,Wigan Athletic,3.0,1.0,H,2006-2007,4.0
Manchester United,Chelsea,1.0,1.0,D,2006-2007,2.0
Watford,Sheffield United,0.0,1.0,A,2006-2007,1.0
Aston Villa,Manchester City,1.0,3.0,A,2006-2007,4.0
Fulham,Arsenal,2.0,1.0,H,2006-2007,3.0
Bolton Wanderers,Chelsea,0.0,1.0,A,2006-2007,1.0
Liverpool,Portsmouth,0.0,0.0,D,2006-2007,0.0
Manchester United,Everton,3.0,0.0,H,2006-2007,3.0
Arsenal,Tottenham Hotspur,3.0,0.0,H,2006-2007,3.0
Blackburn Rovers,Fulham,2.0,0.0,H,2006-2007,2.0
Portsmouth,Aston Villa,2.0,2.0,D,2006-2007,4.0
Reading,Bolton Wanderers,1.0,0.0,H,2006-2007,1.0
Sheffield United,Charlton Athletic,2.0,1.0,H,2006-2007,3.0
Wigan Athletic,Liverpool,0.0,4.0,A,2006-2007,4.0
Middlesbrough,Manchester United,1.0,2.0,A,2006-2007,3.0
Everton,West Ham United,2.0,0.0,H,2006-2007,2.0
Manchester City,Watford,0.0,0.0,D,2006-2007,0.0
Charlton Athletic,Blackburn Rovers,1.0,0.0,H,2006-2007,1.0
Tottenham Hotspur,Middlesbrough,2.0,1.0,H,2006-2007,3.0
Newcastle United,Reading,3.0,2.0,H,2006-2007,5.0
West Ham United,Wigan Athletic,0.0,2.0,A,2006-2007,2.0
Manchester United,Manchester City,3.0,1.0,H,2006-2007,4.0
Blackburn Rovers,Newcastle United,1.0,3.0,A,2006-2007,4.0
Liverpool,Fulham,4.0,0.0,H,2006-2007,4.0
Middlesbrough,Wigan Athletic,1.0,1.0,D,2006-2007,2.0
Portsmouth,Everton,2.0,0.0,H,2006-2007,2.0
Tottenham Hotspur,Charlton Athletic,5.0,1.0,H,2006-2007,6.0
Watford,Reading,0.0,0.0,D,2006-2007,0.0
Bolton Wanderers,West Ham United,4.0,0.0,H,2006-2007,4.0
Chelsea,Arsenal,1.0,1.0,D,2006-2007,2.0
Sheffield United,Aston Villa,2.0,2.0,D,2006-2007,4.0
Chelsea,Newcastle United,1.0,0.0,H,2006-2007,1.0
Wigan Athletic,Arsenal,0.0,1.0,A,2006-2007,1.0
Charlton Athletic,Liverpool,0.0,3.0,A,2006-2007,3.0
Arsenal,Portsmouth,2.0,2.0,D,2006-2007,4.0
Newcastle United,Watford,2.0,1.0,H,2006-2007,3.0
Reading,Blackburn Rovers,1.0,2.0,A,2006-2007,3.0
Wigan Athletic,Sheffield United,0.0,1.0,A,2006-2007,1.0
Aston Villa,Bolton Wanderers,0.0,1.0,A,2006-2007,1.0
Everton,Chelsea,2.0,3.0,A,2006-2007,5.0
Manchester City,Tottenham Hotspur,1.0,2.0,A,2006-2007,3.0
West Ham United,Manchester United,1.0,0.0,H,2006-2007,1.0
Fulham,Middlesbrough,2.0,1.0,H,2006-2007,3.0
Fulham,West Ham United,0.0,0.0,D,2006-2007,0.0
Arsenal,Blackburn Rovers,6.0,2.0,H,2006-2007,8.0
Aston Villa,Manchester United,0.0,3.0,A,2006-2007,3.0
Liverpool,Watford,2.0,0.0,H,2006-2007,2.0
Manchester City,Bolton Wanderers,0.0,2.0,A,2006-2007,2.0
Middlesbrough,Charlton Athletic,2.0,0.0,H,2006-2007,2.0
Newcastle United,Tottenham Hotspur,3.0,1.0,H,2006-2007,4.0
Portsmouth,Sheffield United,3.0,1.0,H,2006-2007,4.0
Reading,Everton,0.0,2.0,A,2006-2007,2.0
Wigan Athletic,Chelsea,2.0,3.0,A,2006-2007,5.0
Chelsea,Reading,2.0,2.0,D,2006-2007,4.0
Tottenham Hotspur,Aston Villa,2.0,1.0,H,2006-2007,3.0
West Ham United,Portsmouth,1.0,2.0,A,2006-2007,3.0
Blackburn Rovers,Liverpool,1.0,0.0,H,2006-2007,1.0
Bolton Wanderers,Newcastle United,2.0,1.0,H,2006-2007,3.0
Everton,Middlesbrough,0.0,0.0,D,2006-2007,0.0
Manchester United,Wigan Athletic,3.0,1.0,H,2006-2007,4.0
Sheffield United,Manchester City,0.0,1.0,A,2006-2007,1.0
Watford,Arsenal,1.0,2.0,A,2006-2007,3.0
Charlton Athletic,Fulham,2.0,2.0,D,2006-2007,4.0
Charlton Athletic,Aston Villa,2.0,1.0,H,2006-2007,3.0
Blackburn Rovers,Middlesbrough,2.0,1.0,H,2006-2007,3.0
Bolton Wanderers,Portsmouth,3.0,2.0,H,2006-2007,5.0
