home_team,away_team,home_goals,away_goals,result,season,total_goals
Blackburn Rovers,Wolverhampton Wanderers,1.0,2.0,A,2011-2012,3.0
Fulham,Aston Villa,0.0,0.0,D,2011-2012,0.0
Liverpool,Sunderland,1.0,1.0,D,2011-2012,2.0
Queens Park Rangers,Bolton Wanderers,0.0,4.0,A,2011-2012,4.0
Wigan Athletic,Norwich City,1.0,1.0,D,2011-2012,2.0
Newcastle United,Arsenal,0.0,0.0,D,2011-2012,0.0
Stoke City,Chelsea,0.0,0.0,D,2011-2012,0.0
West Bromwich Albion,Manchester United,1.0,2.0,A,2011-2012,3.0
Manchester City,Swansea City,4.0,0.0,H,2011-2012,4.0
Sunderland,Newcastle United,0.0,1.0,A,2011-2012,1.0
Arsenal,Liverpool,0.0,2.0,A,2011-2012,2.0
Aston Villa,Blackburn Rovers,3.0,1.0,H,2011-2012,4.0
Everton,Queens Park Rangers,0.0,1.0,A,2011-2012,1.0
Swansea City,Wigan Athletic,0.0,0.0,D,2011-2012,0.0
Chelsea,West Bromwich Albion,2.0,1.0,H,2011-2012,3.0
Norwich City,Stoke City,1.0,1.0,D,2011-2012,2.0
Wolverhampton Wanderers,Fulham,2.0,0.0,H,2011-2012,2.0
Bolton Wanderers,Manchester City,2.0,3.0,A,2011-2012,5.0
Manchester United,Tottenham Hotspur,3.0,0.0,H,2011-2012,3.0
Aston Villa,Wolverhampton Wanderers,0.0,0.0,D,2011-2012,0.0
Wigan Athletic,Queens Park Rangers,2.0,0.0,H,2011-2012,2.0
Blackburn Rovers,Everton,0.0,1.0,A,2011-2012,1.0
Chelsea,Norwich City,3.0,1.0,H,2011-2012,4.0
Swansea City,Sunderland,0.0,0.0,D,2011-2012,0.0
Liverpool,Bolton Wanderers,3.0,1.0,H,2011-2012,4.0
Newcastle United,Fulham,2.0,1.0,H,2011-2012,3.0
Tottenham Hotspur,Manchester City,1.0,5.0,A,2011-2012,6.0
West Bromwich Albion,Stoke City,0.0,1.0,A,2011-2012,1.0
Manchester United,Arsenal,8.0,2.0,H,2011-2012,10.0
Arsenal,Swansea City,1.0,0.0,H,2011-2012,1.0
Everton,Aston Villa,2.0,2.0,D,2011-2012,4.0
Manchester City,Wigan Athletic,3.0,0.0,H,2011-2012,3.0
Stoke City,Liverpool,1.0,0.0,H,2011-2012,1.0
Sunderland,Chelsea,1.0,2.0,A,2011-2012,3.0
Wolverhampton Wanderers,Tottenham Hotspur,0.0,2.0,A,2011-2012,2.0
Bolton Wanderers,Manchester United,0.0,5.0,A,2011-2012,5.0
