home_team,away_team,home_goals,away_goals,result,season,total_goals
Norwich City,West Bromwich Albion,0.0,1.0,A,2011-2012,1.0
Fulham,Blackburn Rovers,1.0,1.0,D,2011-2012,2.0
Queens Park Rangers,Newcastle United,0.0,0.0,D,2011-2012,0.0
Blackburn Rovers,Arsenal,4.0,3.0,H,2011-2012,7.0
Aston Villa,Newcastle United,1.0,1.0,D,2011-2012,2.0
Bolton Wanderers,Norwich City,1.0,2.0,A,2011-2012,3.0
Everton,Wigan Athletic,3.0,1.0,H,2011-2012,4.0
Swansea City,West Bromwich Albion,3.0,0.0,H,2011-2012,3.0
Wolverhampton Wanderers,Queens Park Rangers,0.0,3.0,A,2011-2012,3.0
Tottenham Hotspur,Liverpool,4.0,0.0,H,2011-2012,4.0
Fulham,Manchester City,2.0,2.0,D,2011-2012,4.0
Sunderland,Stoke City,4.0,0.0,H,2011-2012,4.0
Manchester United,Chelsea,3.0,1.0,H,2011-2012,4.0
Manchester City,Everton,2.0,0.0,H,2011-2012,2.0
Arsenal,Bolton Wanderers,3.0,0.0,H,2011-2012,3.0
Chelsea,Swansea City,4.0,1.0,H,2011-2012,5.0
Liverpool,Wolverhampton Wanderers,2.0,1.0,H,2011-2012,3.0
Newcastle United,Blackburn Rovers,3.0,1.0,H,2011-2012,4.0
West Bromwich Albion,Fulham,0.0,0.0,D,2011-2012,0.0
Wigan Athletic,Tottenham Hotspur,1.0,2.0,A,2011-2012,3.0
Stoke City,Manchester United,1.0,1.0,D,2011-2012,2.0
Queens Park Rangers,Aston Villa,1.0,1.0,D,2011-2012,2.0
Norwich City,Sunderland,2.0,1.0,H,2011-2012,3.0
Everton,Liverpool,0.0,2.0,A,2011-2012,2.0
Aston Villa,Wigan Athletic,2.0,0.0,H,2011-2012,2.0
Blackburn Rovers,Manchester City,0.0,4.0,A,2011-2012,4.0
Manchester United,Norwich City,2.0,0.0,H,2011-2012,2.0
Sunderland,West Bromwich Albion,2.0,2.0,D,2011-2012,4.0
Wolverhampton Wanderers,Newcastle United,1.0,2.0,A,2011-2012,3.0
Bolton Wanderers,Chelsea,1.0,5.0,A,2011-2012,6.0
Fulham,Queens Park Rangers,6.0,0.0,H,2011-2012,6.0
Swansea City,Stoke City,2.0,0.0,H,2011-2012,2.0
Tottenham Hotspur,Arsenal,2.0,1.0,H,2011-2012,3.0
Liverpool,Manchester United,1.0,1.0,D,2011-2012,2.0
Manchester City,Aston Villa,4.0,1.0,H,2011-2012,5.0
Norwich City,Swansea City,3.0,1.0,H,2011-2012,4.0
Queens Park Rangers,Blackburn Rovers,1.0,1.0,D,2011-2012,2.0
Stoke City,Fulham,2.0,0.0,H,2011-2012,2.0
Wigan Athletic,Bolton Wanderers,1.0,3.0,A,2011-2012,4.0
Chelsea,Everton,3.0,1.0,H,2011-2012,4.0
West Bromwich Albion,Wolverhampton Wanderers,2.0,0.0,H,2011-2012,2.0
Arsenal,Sunderland,2.0,1.0,H,2011-2012,3.0
Newcastle United,Tottenham Hotspur,2.0,2.0,D,2011-2012,4.0
Wolverhampton Wanderers,Swansea City,2.0,2.0,D,2011-2012,4.0
Aston Villa,West Bromwich Albion,1.0,2.0,A,2011-2012,3.0
Bolton Wanderers,Sunderland,0.0,2.0,A,2011-2012,2.0
Newcastle United,Wigan Athletic,1.0,0.0,H,2011-2012,1.0
Liverpool,Norwich City,1.0,1.0,D,2011-2012,2.0
Arsenal,Stoke City,3.0,1.0,H,2011-2012,4.0
Fulham,Everton,1.0,3.0,A,2011-2012,4.0
Manchester United,Manchester City,1.0,6.0,A,2011-2012,7.0
Blackburn Rovers,Tottenham Hotspur,1.0,2.0,A,2011-2012,3.0
Queens Park Rangers,Chelsea,1.0,0.0,H,2011-2012,1.0
Everton,Manchester United,0.0,1.0,A,2011-2012,1.0
Chelsea,Arsenal,3.0,5.0,A,2011-2012,8.0
Manchester City,Wolverhampton Wanderers,3.0,1.0,H,2011-2012,4.0
Norwich City,Blackburn Rovers,3.0,3.0,D,2011-2012,6.0
Sunderland,Aston Villa,2.0,2.0,D,2011-2012,4.0
Swansea City,Bolton Wanderers,3.0,1.0,H,2011-2012,4.0
Wigan Athletic,Fulham,0.0,2.0,A,2011-2012,2.0
West Bromwich Albion,Liverpool,0.0,2.0,A,2011-2012,2.0
Tottenham Hotspur,Queens Park Rangers,3.0,1.0,H,2011-2012,4.0
Stoke City,Newcastle United,1.0,3.0,A,2011-2012,4.0
Newcastle United,Everton,2.0,1.0,H,2011-2012,3.0
Arsenal,West Bromwich Albion,3.0,0.0,H,2011-2012,3.0
Aston Villa,Norwich City,3.0,2.0,H,2011-2012,5.0
Blackburn Rovers,Chelsea,0.0,1.0,A,2011-2012,1.0
Liverpool,Swansea City,0.0,0.0,D,2011-2012,0.0
Manchester United,Sunderland,1.0,0.0,H,2011-2012,1.0
Queens Park Rangers,Manchester City,2.0,3.0,A,2011-2012,5.0
Wolverhampton Wanderers,Wigan Athletic,3.0,1.0,H,2011-2012,4.0
Bolton Wanderers,Stoke City,5.0,0.0,H,2011-2012,5.0
Fulham,Tottenham Hotspur,1.0,3.0,A,2011-2012,4.0
Norwich City,Arsenal,1.0,2.0,A,2011-2012,3.0
Everton,Wolverhampton Wanderers,2.0,1.0,H,2011-2012,3.0
Manchester City,Newcastle United,3.0,1.0,H,2011-2012,4.0
Stoke City,Queens Park Rangers,2.0,3.0,A,2011-2012,5.0
Sunderland,Fulham,0.0,0.0,D,2011-2012,0.0
West Bromwich Albion,Bolton Wanderers,2.0,1.0,H,2011-2012,3.0
Wigan Athletic,Blackburn Rovers,3.0,3.0,D,2011-2012,6.0
Swansea City,Manchester United,0.0,1.0,A,2011-2012,1.0
Chelsea,Liverpool,1.0,2.0,A,2011-2012,3.0
Tottenham Hotspur,Aston Villa,2.0,0.0,H,2011-2012,2.0
Stoke City,Blackburn Rovers,3.0,1.0,H,2011-2012,4.0
Bolton Wanderers,Everton,0.0,2.0,A,2011-2012,2.0
Chelsea,Wolverhampton Wanderers,3.0,0.0,H,2011-2012,3.0
Manchester United,Newcastle United,1.0,1.0,D,2011-2012,2.0
Norwich City,Queens Park Rangers,2.0,1.0,H,2011-2012,3.0
Sunderland,Wigan Athletic,1.0,2.0,A,2011-2012,3.0
West Bromwich Albion,Tottenham Hotspur,1.0,3.0,A,2011-2012,4.0
Arsenal,Fulham,1.0,1.0,D,2011-2012,2.0
Swansea City,Aston Villa,0.0,0.0,D,2011-2012,0.0
Liverpool,Manchester City,1.0,1.0,D,2011-2012,2.0
Newcastle United,Chelsea,0.0,3.0,A,2011-2012,3.0
Blackburn Rovers,Swansea City,4.0,2.0,H,2011-2012,6.0
Manchester City,Norwich City,5.0,1.0,H,2011-2012,6.0
Queens Park Rangers,West Bromwich Albion,1.0,1.0,D,2011-2012,2.0
Tottenham Hotspur,Bolton Wanderers,3.0,0.0,H,2011-2012,3.0
Wigan Athletic,Arsenal,0.0,4.0,A,2011-2012,4.0
Aston Villa,Manchester United,0.0,1.0,A,2011-2012,1.0
Everton,Stoke City,0.0,1.0,A,2011-2012,1.0
Wolverhampton Wanderers,Sunderland,2.0,1.0,H,2011-2012,3.0
Fulham,Liverpool,1.0,0.0,H,2011-2012,1.0
Arsenal,Everton,1.0,0.0,H,2011-2012,1.0
Bolton Wanderers,Aston Villa,1.0,2.0,A,2011-2012,3.0
Liverpool,Queens Park Rangers,1.0,0.0,H,2011-2012,1.0
Manchester United,Wolverhampton Wanderers,4.0,1.0,H,2011-2012,5.0
Norwich City,Newcastle United,4.0,2.0,H,2011-2012,6.0
Swansea City,Fulham,2.0,0.0,H,2011-2012,2.0
West Bromwich Albion,Wigan Athletic,1.0,2.0,A,2011-2012,3.0
Sunderland,Blackburn Rovers,2.0,1.0,H,2011-2012,3.0
Stoke City,Tottenham Hotspur,2.0,1.0,H,2011-2012,3.0
Chelsea,Manchester City,2.0,1.0,H,2011-2012,3.0
Blackburn Rovers,West Bromwich Albion,1.0,2.0,A,2011-2012,3.0
Everton,Norwich City,1.0,1.0,D,2011-2012,2.0
Fulham,Bolton Wanderers,2.0,0.0,H,2011-2012,2.0
Newcastle United,Swansea City,0.0,0.0,D,2011-2012,0.0
Wolverhampton Wanderers,Stoke City,1.0,2.0,A,2011-2012,3.0
Wigan Athletic,Chelsea,1.0,1.0,D,2011-2012,2.0
Queens Park Rangers,Manchester United,0.0,2.0,A,2011-2012,2.0
Aston Villa,Liverpool,0.0,2.0,A,2011-2012,2.0
Tottenham Hotspur,Sunderland,1.0,0.0,H,2011-2012,1.0
Manchester City,Arsenal,1.0,0.0,H,2011-2012,1.0
Wolverhampton Wanderers,Norwich City,2.0,2.0,D,2011-2012,4.0
Blackburn Rovers,Bolton Wanderers,1.0,2.0,A,2011-2012,3.0
Aston Villa,Arsenal,1.0,2.0,A,2011-2012,3.0
Manchester City,Stoke City,3.0,0.0,H,2011-2012,3.0
Newcastle United,West Bromwich Albion,2.0,3.0,A,2011-2012,5.0
Everton,Swansea City,1.0,0.0,H,2011-2012,1.0
Fulham,Manchester United,0.0,5.0,A,2011-2012,5.0
Queens Park Rangers,Sunderland,2.0,3.0,A,2011-2012,5.0
Wigan Athletic,Liverpool,0.0,0.0,D,2011-2012,0.0
Tottenham Hotspur,Chelsea,1.0,1.0,D,2011-2012,2.0
Chelsea,Fulham,1.0,1.0,D,2011-2012,2.0
Bolton Wanderers,Newcastle United,0.0,2.0,A,2011-2012,2.0
Liverpool,Blackburn Rovers,1.0,1.0,D,2011-2012,2.0
Manchester United,Wigan Athletic,5.0,0.0,H,2011-2012,5.0
Sunderland,Everton,1.0,1.0,D,2011-2012,2.0
West Bromwich Albion,Manchester City,0.0,0.0,D,2011-2012,0.0
Stoke City,Aston Villa,0.0,0.0,D,2011-2012,0.0
Arsenal,Wolverhampton Wanderers,1.0,1.0,D,2011-2012,2.0
Swansea City,Queens Park Rangers,1.0,1.0,D,2011-2012,2.0
Norwich City,Tottenham Hotspur,0.0,2.0,A,2011-2012,2.0
Liverpool,Newcastle United,3.0,1.0,H,2011-2012,4.0
Manchester United,Blackburn Rovers,2.0,3.0,A,2011-2012,5.0
Arsenal,Queens Park Rangers,1.0,0.0,H,2011-2012,1.0
Bolton Wanderers,Wolverhampton Wanderers,1.0,1.0,D,2011-2012,2.0
Chelsea,Aston Villa,1.0,3.0,A,2011-2012,4.0
Norwich City,Fulham,1.0,1.0,D,2011-2012,2.0
Stoke City,Wigan Athletic,2.0,2.0,D,2011-2012,4.0
Swansea City,Tottenham Hotspur,1.0,1.0,D,2011-2012,2.0
West Bromwich Albion,Everton,0.0,1.0,A,2011-2012,1.0
Sunderland,Manchester City,1.0,0.0,H,2011-2012,1.0
Aston Villa,Swansea City,0.0,2.0,A,2011-2012,2.0
Blackburn Rovers,Stoke City,1.0,2.0,A,2011-2012,3.0
Queens Park Rangers,Norwich City,1.0,2.0,A,2011-2012,3.0
Wolverhampton Wanderers,Chelsea,1.0,2.0,A,2011-2012,3.0
Fulham,Arsenal,2.0,1.0,H,2011-2012,3.0
Tottenham Hotspur,West Bromwich Albion,1.0,0.0,H,2011-2012,1.0
Wigan Athletic,Sunderland,1.0,4.0,A,2011-2012,5.0
Manchester City,Liverpool,3.0,0.0,H,2011-2012,3.0
Everton,Bolton Wanderers,1.0,2.0,A,2011-2012,3.0
Newcastle United,Manchester United,3.0,0.0,H,2011-2012,3.0
Tottenham Hotspur,Everton,2.0,0.0,H,2011-2012,2.0
Aston Villa,Everton,1.0,1.0,D,2011-2012,2.0
Blackburn Rovers,Fulham,3.0,1.0,H,2011-2012,4.0
Chelsea,Sunderland,1.0,0.0,H,2011-2012,1.0
Liverpool,Stoke City,0.0,0.0,D,2011-2012,0.0
Manchester United,Bolton Wanderers,3.0,0.0,H,2011-2012,3.0
Tottenham Hotspur,Wolverhampton Wanderers,1.0,1.0,D,2011-2012,2.0
West Bromwich Albion,Norwich City,1.0,2.0,A,2011-2012,3.0
Newcastle United,Queens Park Rangers,1.0,0.0,H,2011-2012,1.0
Swansea City,Arsenal,3.0,2.0,H,2011-2012,5.0
Wigan Athletic,Manchester City,0.0,1.0,A,2011-2012,1.0
Norwich City,Chelsea,0.0,0.0,D,2011-2012,0.0
Everton,Blackburn Rovers,1.0,1.0,D,2011-2012,2.0
Fulham,Newcastle United,5.0,2.0,H,2011-2012,7.0
Queens Park Rangers,Wigan Athletic,3.0,1.0,H,2011-2012,4.0
Stoke City,West Bromwich Albion,1.0,2.0,A,2011-2012,3.0
Sunderland,Swansea City,2.0,0.0,H,2011-2012,2.0
Wolverhampton Wanderers,Aston Villa,2.0,3.0,A,2011-2012,5.0
Bolton Wanderers,Liverpool,3.0,1.0,H,2011-2012,4.0
Manchester City,Tottenham Hotspur,3.0,2.0,H,2011-2012,5.0
Arsenal,Manchester United,1.0,2.0,A,2011-2012,3.0
Swansea City,Chelsea,1.0,1.0,D,2011-2012,2.0
Tottenham Hotspur,Wigan Athletic,3.0,1.0,H,2011-2012,4.0
Wolverhampton Wanderers,Liverpool,0.0,3.0,A,2011-2012,3.0
Everton,Manchester City,1.0,0.0,H,2011-2012,1.0
Manchester United,Stoke City,2.0,0.0,H,2011-2012,2.0
Aston Villa,Queens Park Rangers,2.0,2.0,D,2011-2012,4.0
Blackburn Rovers,Newcastle United,0.0,2.0,A,2011-2012,2.0
Bolton Wanderers,Arsenal,0.0,0.0,D,2011-2012,0.0
Fulham,West Bromwich Albion,1.0,1.0,D,2011-2012,2.0
Sunderland,Norwich City,3.0,0.0,H,2011-2012,3.0
Arsenal,Blackburn Rovers,7.0,1.0,H,2011-2012,8.0
Norwich City,Bolton Wanderers,2.0,0.0,H,2011-2012,2.0
Queens Park Rangers,Wolverhampton Wanderers,1.0,2.0,A,2011-2012,3.0
Stoke City,Sunderland,0.0,1.0,A,2011-2012,1.0
West Bromwich Albion,Swansea City,1.0,2.0,A,2011-2012,3.0
Wigan Athletic,Everton,1.0,1.0,D,2011-2012,2.0
Manchester City,Fulham,3.0,0.0,H,2011-2012,3.0
Newcastle United,Aston Villa,2.0,1.0,H,2011-2012,3.0
Chelsea,Manchester United,3.0,3.0,D,2011-2012,6.0
Liverpool,Tottenham Hotspur,0.0,0.0,D,2011-2012,0.0
Manchester United,Liverpool,2.0,1.0,H,2011-2012,3.0
Blackburn Rovers,Queens Park Rangers,3.0,2.0,H,2011-2012,5.0
Bolton Wanderers,Wigan Athletic,1.0,2.0,A,2011-2012,3.0
Everton,Chelsea,2.0,0.0,H,2011-2012,2.0
Fulham,Stoke City,2.0,1.0,H,2011-2012,3.0
Sunderland,Arsenal,1.0,2.0,A,2011-2012,3.0
Swansea City,Norwich City,2.0,3.0,A,2011-2012,5.0
Tottenham Hotspur,Newcastle United,5.0,0.0,H,2011-2012,5.0
Wolverhampton Wanderers,West Bromwich Albion,1.0,5.0,A,2011-2012,6.0
Aston Villa,Manchester City,0.0,1.0,A,2011-2012,1.0
Chelsea,Bolton Wanderers,3.0,0.0,H,2011-2012,3.0
Newcastle United,Wolverhampton Wanderers,2.0,2.0,D,2011-2012,4.0
Queens Park Rangers,Fulham,0.0,1.0,A,2011-2012,1.0
West Bromwich Albion,Sunderland,4.0,0.0,H,2011-2012,4.0
Wigan Athletic,Aston Villa,0.0,0.0,D,2011-2012,0.0
Manchester City,Blackburn Rovers,3.0,0.0,H,2011-2012,3.0
Arsenal,Tottenham Hotspur,5.0,2.0,H,2011-2012,7.0
Norwich City,Manchester United,1.0,2.0,A,2011-2012,3.0
Stoke City,Swansea City,2.0,0.0,H,2011-2012,2.0
Liverpool,Arsenal,1.0,2.0,A,2011-2012,3.0
Blackburn Rovers,Aston Villa,1.0,1.0,D,2011-2012,2.0
Manchester City,Bolton Wanderers,2.0,0.0,H,2011-2012,2.0
Queens Park Rangers,Everton,1.0,1.0,D,2011-2012,2.0
Stoke City,Norwich City,1.0,0.0,H,2011-2012,1.0
West Bromwich Albion,Chelsea,1.0,0.0,H,2011-2012,1.0
Wigan Athletic,Swansea City,0.0,2.0,A,2011-2012,2.0
Newcastle United,Sunderland,1.0,1.0,D,2011-2012,2.0
Fulham,Wolverhampton Wanderers,5.0,0.0,H,2011-2012,5.0
Tottenham Hotspur,Manchester United,1.0,3.0,A,2011-2012,4.0
Bolton Wanderers,Queens Park Rangers,2.0,1.0,H,2011-2012,3.0
Aston Villa,Fulham,1.0,0.0,H,2011-2012,1.0
Chelsea,Stoke City,1.0,0.0,H,2011-2012,1.0
Sunderland,Liverpool,1.0,0.0,H,2011-2012,1.0
Wolverhampton Wanderers,Blackburn Rovers,0.0,2.0,A,2011-2012,2.0
Everton,Tottenham Hotspur,1.0,0.0,H,2011-2012,1.0
Manchester United,West Bromwich Albion,2.0,0.0,H,2011-2012,2.0
Swansea City,Manchester City,1.0,0.0,H,2011-2012,1.0
Norwich City,Wigan Athletic,1.0,1.0,D,2011-2012,2.0
Arsenal,Newcastle United,2.0,1.0,H,2011-2012,3.0
Liverpool,Everton,3.0,0.0,H,2011-2012,3.0
Fulham,Swansea City,0.0,3.0,A,2011-2012,3.0
Wigan Athletic,West Bromwich Albion,1.0,1.0,D,2011-2012,2.0
Wolverhampton Wanderers,Manchester United,0.0,5.0,A,2011-2012,5.0
Newcastle United,Norwich City,1.0,0.0,H,2011-2012,1.0
Blackburn Rovers,Sunderland,2.0,0.0,H,2011-2012,2.0
Manchester City,Chelsea,2.0,1.0,H,2011-2012,3.0
Tottenham Hotspur,Stoke City,1.0,1.0,D,2011-2012,2.0
Everton,Arsenal,0.0,1.0,A,2011-2012,1.0
Queens Park Rangers,Liverpool,3.0,2.0,H,2011-2012,5.0
Chelsea,Tottenham Hotspur,0.0,0.0,D,2011-2012,0.0
Arsenal,Aston Villa,3.0,0.0,H,2011-2012,3.0
Bolton Wanderers,Blackburn Rovers,2.0,1.0,H,2011-2012,3.0
Liverpool,Wigan Athletic,1.0,2.0,A,2011-2012,3.0
Norwich City,Wolverhampton Wanderers,2.0,1.0,H,2011-2012,3.0
Sunderland,Queens Park Rangers,3.0,1.0,H,2011-2012,4.0
Swansea City,Everton,0.0,2.0,A,2011-2012,2.0
Stoke City,Manchester City,1.0,1.0,D,2011-2012,2.0
West Bromwich Albion,Newcastle United,1.0,3.0,A,2011-2012,4.0
Manchester United,Fulham,1.0,0.0,H,2011-2012,1.0
Aston Villa,Chelsea,2.0,4.0,A,2011-2012,6.0
Everton,West Bromwich Albion,2.0,0.0,H,2011-2012,2.0
Fulham,Norwich City,2.0,1.0,H,2011-2012,3.0
Manchester City,Sunderland,3.0,3.0,D,2011-2012,6.0
Queens Park Rangers,Arsenal,2.0,1.0,H,2011-2012,3.0
Wigan Athletic,Stoke City,2.0,0.0,H,2011-2012,2.0
Wolverhampton Wanderers,Bolton Wanderers,2.0,3.0,A,2011-2012,5.0
Newcastle United,Liverpool,2.0,0.0,H,2011-2012,2.0
Tottenham Hotspur,Swansea City,3.0,1.0,H,2011-2012,4.0
Blackburn Rovers,Manchester United,0.0,2.0,A,2011-2012,2.0
Swansea City,Newcastle United,0.0,2.0,A,2011-2012,2.0
Sunderland,Tottenham Hotspur,0.0,0.0,D,2011-2012,0.0
Bolton Wanderers,Fulham,0.0,3.0,A,2011-2012,3.0
Chelsea,Wigan Athletic,2.0,1.0,H,2011-2012,3.0
Liverpool,Aston Villa,1.0,1.0,D,2011-2012,2.0
Norwich City,Everton,2.0,2.0,D,2011-2012,4.0
West Bromwich Albion,Blackburn Rovers,3.0,0.0,H,2011-2012,3.0
Stoke City,Wolverhampton Wanderers,2.0,1.0,H,2011-2012,3.0
Manchester United,Queens Park Rangers,2.0,0.0,H,2011-2012,2.0
Arsenal,Manchester City,1.0,0.0,H,2011-2012,1.0
Everton,Sunderland,4.0,0.0,H,2011-2012,4.0
Newcastle United,Bolton Wanderers,2.0,0.0,H,2011-2012,2.0
Tottenham Hotspur,Norwich City,1.0,2.0,A,2011-2012,3.0
Aston Villa,Stoke City,1.0,1.0,D,2011-2012,2.0
Fulham,Chelsea,1.0,1.0,D,2011-2012,2.0
Blackburn Rovers,Liverpool,2.0,3.0,A,2011-2012,5.0
Manchester City,West Bromwich Albion,4.0,0.0,H,2011-2012,4.0
Wigan Athletic,Manchester United,1.0,0.0,H,2011-2012,1.0
Wolverhampton Wanderers,Arsenal,0.0,3.0,A,2011-2012,3.0
Queens Park Rangers,Swansea City,3.0,0.0,H,2011-2012,3.0
Norwich City,Manchester City,1.0,6.0,A,2011-2012,7.0
Sunderland,Wolverhampton Wanderers,0.0,0.0,D,2011-2012,0.0
Swansea City,Blackburn Rovers,3.0,0.0,H,2011-2012,3.0
West Bromwich Albion,Queens Park Rangers,1.0,0.0,H,2011-2012,1.0
Manchester United,Aston Villa,4.0,0.0,H,2011-2012,4.0
Arsenal,Wigan Athletic,1.0,2.0,A,2011-2012,3.0
Arsenal,Chelsea,0.0,0.0,D,2011-2012,0.0
Aston Villa,Sunderland,0.0,0.0,D,2011-2012,0.0
Blackburn Rovers,Norwich City,2.0,0.0,H,2011-2012,2.0
Bolton Wanderers,Swansea City,1.0,1.0,D,2011-2012,2.0
Fulham,Wigan Athletic,2.0,1.0,H,2011-2012,3.0
Newcastle United,Stoke City,3.0,0.0,H,2011-2012,3.0
Queens Park Rangers,Tottenham Hotspur,1.0,0.0,H,2011-2012,1.0
Manchester United,Everton,4.0,4.0,D,2011-2012,8.0
Liverpool,West Bromwich Albion,0.0,1.0,A,2011-2012,1.0
Wolverhampton Wanderers,Manchester City,0.0,2.0,A,2011-2012,2.0
Aston Villa,Bolton Wanderers,1.0,2.0,A,2011-2012,3.0
Everton,Fulham,4.0,0.0,H,2011-2012,4.0
Stoke City,Arsenal,1.0,1.0,D,2011-2012,2.0
Sunderland,Bolton Wanderers,2.0,2.0,D,2011-2012,4.0
Swansea City,Wolverhampton Wanderers,4.0,4.0,D,2011-2012,8.0
West Bromwich Albion,Aston Villa,0.0,0.0,D,2011-2012,0.0
Wigan Athletic,Newcastle United,4.0,0.0,H,2011-2012,4.0
Norwich City,Liverpool,0.0,3.0,A,2011-2012,3.0
Chelsea,Queens Park Rangers,6.0,1.0,H,2011-2012,7.0
Tottenham Hotspur,Blackburn Rovers,2.0,0.0,H,2011-2012,2.0
Manchester City,Manchester United,1.0,0.0,H,2011-2012,1.0
Liverpool,Fulham,0.0,1.0,A,2011-2012,1.0
Stoke City,Everton,1.0,1.0,D,2011-2012,2.0
Chelsea,Newcastle United,0.0,2.0,A,2011-2012,2.0
Bolton Wanderers,Tottenham Hotspur,1.0,4.0,A,2011-2012,5.0
Arsenal,Norwich City,3.0,3.0,D,2011-2012,6.0
Newcastle United,Manchester City,0.0,2.0,A,2011-2012,2.0
Aston Villa,Tottenham Hotspur,1.0,1.0,D,2011-2012,2.0
Bolton Wanderers,West Bromwich Albion,2.0,2.0,D,2011-2012,4.0
Fulham,Sunderland,2.0,1.0,H,2011-2012,3.0
Queens Park Rangers,Stoke City,1.0,0.0,H,2011-2012,1.0
Wolverhampton Wanderers,Everton,0.0,0.0,D,2011-2012,0.0
Manchester United,Swansea City,2.0,0.0,H,2011-2012,2.0
Blackburn Rovers,Wigan Athletic,0.0,1.0,A,2011-2012,1.0
Liverpool,Chelsea,4.0,1.0,H,2011-2012,5.0
Chelsea,Blackburn Rovers,2.0,1.0,H,2011-2012,3.0
Everton,Newcastle United,3.0,1.0,H,2011-2012,4.0
Manchester City,Queens Park Rangers,3.0,2.0,H,2011-2012,5.0
Norwich City,Aston Villa,2.0,0.0,H,2011-2012,2.0
Stoke City,Bolton Wanderers,2.0,2.0,D,2011-2012,4.0
Sunderland,Manchester United,0.0,1.0,A,2011-2012,1.0
Swansea City,Liverpool,1.0,0.0,H,2011-2012,1.0
Tottenham Hotspur,Fulham,2.0,0.0,H,2011-2012,2.0
West Bromwich Albion,Arsenal,2.0,3.0,A,2011-2012,5.0
Wigan Athletic,Wolverhampton Wanderers,3.0,2.0,H,2011-2012,5.0
