home_team,total,wins,losses,prop,draws,season,goals,goals_per_game,Goals_Against,cleansheets
Manchester City,38,27,6,0.7105263157894737,5,2013-2014,102.0,2.6842105263157894,37.0,16
Liverpool,38,26,6,0.6842105263157895,6,2013-2014,101.0,2.6578947368421053,50.0,10
Chelsea,38,25,6,0.6578947368421053,7,2013-2014,71.0,1.868421052631579,27.0,18
Arsenal,38,24,7,0.631578947368421,7,2013-2014,68.0,1.7894736842105263,41.0,17
Tottenham Hotspur,38,21,11,0.5526315789473685,6,2013-2014,55.0,1.4473684210526316,51.0,14
Everton,38,21,8,0.5526315789473685,9,2013-2014,61.0,1.605263157894737,39.0,15
Manchester United,38,19,12,0.5,7,2013-2014,64.0,1.6842105263157894,43.0,13
Newcastle United,38,15,19,0.39473684210526316,4,2013-2014,43.0,1.131578947368421,59.0,10
Southampton,38,15,12,0.39473684210526316,11,2013-2014,54.0,1.4210526315789473,46.0,15
Crystal Palace,38,13,19,0.34210526315789475,6,2013-2014,33.0,0.868421052631579,48.0,12
Stoke City,38,13,14,0.34210526315789475,11,2013-2014,45.0,1.1842105263157894,52.0,9
Swansea City,38,11,18,0.2894736842105263,9,2013-2014,54.0,1.4210526315789473,54.0,8
West Ham United,38,11,20,0.2894736842105263,7,2013-2014,40.0,1.0526315789473684,51.0,14
Sunderland,38,10,20,0.2631578947368421,8,2013-2014,41.0,1.0789473684210527,60.0,11
Hull City,38,10,21,0.2631578947368421,7,2013-2014,38.0,1.0,53.0,10
Aston Villa,38,10,20,0.2631578947368421,8,2013-2014,39.0,1.0263157894736843,61.0,9
Fulham,38,9,24,0.23684210526315788,5,2013-2014,40.0,1.0526315789473684,85.0,5
Norwich City,38,8,21,0.21052631578947367,9,2013-2014,28.0,0.7368421052631579,62.0,12
West Bromwich Albion,38,7,16,0.18421052631578946,15,2013-2014,43.0,1.131578947368421,59.0,7
Cardiff City,38,7,22,0.18421052631578946,9,2013-2014,32.0,0.8421052631578947,74.0,7
