home_team,away_team,home_goals,away_goals,result,season,total_goals
Sunderland,Tottenham Hotspur,1.0,0.0,H,2007-2008,1.0
Bolton Wanderers,Newcastle United,1.0,3.0,A,2007-2008,4.0
Derby County,Portsmouth,2.0,2.0,D,2007-2008,4.0
Everton,Wigan Athletic,2.0,1.0,H,2007-2008,3.0
Middlesbrough,Blackburn Rovers,1.0,2.0,A,2007-2008,3.0
West Ham United,Manchester City,0.0,2.0,A,2007-2008,2.0
Aston Villa,Liverpool,1.0,2.0,A,2007-2008,3.0
Arsenal,Fulham,2.0,1.0,H,2007-2008,3.0
Chelsea,Birmingham City,3.0,2.0,H,2007-2008,5.0
Manchester United,Reading,0.0,0.0,D,2007-2008,0.0
Tottenham Hotspur,Everton,1.0,3.0,A,2007-2008,4.0
Birmingham City,Sunderland,2.0,2.0,D,2007-2008,4.0
Fulham,Bolton Wanderers,2.0,1.0,H,2007-2008,3.0
Manchester City,Derby County,1.0,0.0,H,2007-2008,1.0
Portsmouth,Manchester United,1.0,1.0,D,2007-2008,2.0
Reading,Chelsea,1.0,2.0,A,2007-2008,3.0
Wigan Athletic,Middlesbrough,1.0,0.0,H,2007-2008,1.0
Portsmouth,Bolton Wanderers,3.0,1.0,H,2007-2008,4.0
Birmingham City,West Ham United,0.0,1.0,A,2007-2008,1.0
Fulham,Middlesbrough,1.0,2.0,A,2007-2008,3.0
Reading,Everton,1.0,0.0,H,2007-2008,1.0
Tottenham Hotspur,Derby County,4.0,0.0,H,2007-2008,4.0
Wigan Athletic,Sunderland,3.0,0.0,H,2007-2008,3.0
Newcastle United,Aston Villa,0.0,0.0,D,2007-2008,0.0
Manchester City,Manchester United,1.0,0.0,H,2007-2008,1.0
Blackburn Rovers,Arsenal,1.0,1.0,D,2007-2008,2.0
Liverpool,Chelsea,1.0,1.0,D,2007-2008,2.0
Sunderland,Liverpool,0.0,2.0,A,2007-2008,2.0
Arsenal,Manchester City,1.0,0.0,H,2007-2008,1.0
Aston Villa,Fulham,2.0,1.0,H,2007-2008,3.0
Bolton Wanderers,Reading,3.0,0.0,H,2007-2008,3.0
Chelsea,Portsmouth,1.0,0.0,H,2007-2008,1.0
Derby County,Birmingham City,1.0,2.0,A,2007-2008,3.0
West Ham United,Wigan Athletic,1.0,1.0,D,2007-2008,2.0
Everton,Blackburn Rovers,1.0,1.0,D,2007-2008,2.0
Middlesbrough,Newcastle United,2.0,2.0,D,2007-2008,4.0
Manchester United,Tottenham Hotspur,1.0,0.0,H,2007-2008,1.0
Bolton Wanderers,Everton,1.0,2.0,A,2007-2008,3.0
Fulham,Tottenham Hotspur,3.0,3.0,D,2007-2008,6.0
Liverpool,Derby County,6.0,0.0,H,2007-2008,6.0
Middlesbrough,Birmingham City,2.0,0.0,H,2007-2008,2.0
Newcastle United,Wigan Athletic,1.0,0.0,H,2007-2008,1.0
Reading,West Ham United,0.0,3.0,A,2007-2008,3.0
Manchester United,Sunderland,1.0,0.0,H,2007-2008,1.0
Arsenal,Portsmouth,3.0,1.0,H,2007-2008,4.0
Blackburn Rovers,Manchester City,1.0,0.0,H,2007-2008,1.0
Aston Villa,Chelsea,2.0,0.0,H,2007-2008,2.0
Everton,Manchester United,0.0,1.0,A,2007-2008,1.0
Portsmouth,Liverpool,0.0,0.0,D,2007-2008,0.0
Tottenham Hotspur,Arsenal,1.0,3.0,A,2007-2008,4.0
Birmingham City,Bolton Wanderers,1.0,0.0,H,2007-2008,1.0
Sunderland,Reading,2.0,1.0,H,2007-2008,3.0
