home_team,total,wins,losses,prop,draws,season,goals,goals_per_game
Manchester United,38,23,4,0.6052631578947368,11,2010-2011,78.0,2.0526315789473686
Chelsea,38,21,9,0.5526315789473685,8,2010-2011,69.0,1.8157894736842106
Manchester City,38,21,9,0.5526315789473685,8,2010-2011,60.0,1.5789473684210527
Arsenal,38,19,8,0.5,11,2010-2011,72.0,1.894736842105263
Liverpool,38,17,14,0.4473684210526316,7,2010-2011,59.0,1.5526315789473684
Tottenham Hotspur,38,16,8,0.42105263157894735,14,2010-2011,55.0,1.4473684210526316
Everton,38,13,10,0.34210526315789475,15,2010-2011,51.0,1.3421052631578947
Stoke City,38,13,18,0.34210526315789475,7,2010-2011,46.0,1.2105263157894737
West Bromwich Albion,38,12,15,0.3157894736842105,11,2010-2011,56.0,1.4736842105263157
Aston Villa,38,12,14,0.3157894736842105,12,2010-2011,48.0,1.263157894736842
Bolton Wanderers,38,12,16,0.3157894736842105,10,2010-2011,52.0,1.368421052631579
Sunderland,38,12,15,0.3157894736842105,11,2010-2011,45.0,1.1842105263157894
Wolverhampton Wanderers,38,11,20,0.2894736842105263,7,2010-2011,46.0,1.2105263157894737
Newcastle United,38,11,14,0.2894736842105263,13,2010-2011,56.0,1.4736842105263157
Fulham,38,11,11,0.2894736842105263,16,2010-2011,49.0,1.2894736842105263
Blackburn Rovers,38,11,17,0.2894736842105263,10,2010-2011,46.0,1.2105263157894737
Blackpool,38,10,19,0.2631578947368421,9,2010-2011,55.0,1.4473684210526316
Wigan Athletic,38,9,14,0.23684210526315788,15,2010-2011,40.0,1.0526315789473684
Birmingham City,38,8,15,0.21052631578947367,15,2010-2011,37.0,0.9736842105263158
West Ham United,38,7,19,0.18421052631578946,12,2010-2011,43.0,1.131578947368421
