home_team,wins
Chelsea,30
Tottenham Hotspur,26
Manchester City,23
Arsenal,23
Liverpool,22
Manchester United,18
Everton,17
Southampton,12
AFC Bournemouth,12
Swansea City,12
Crystal Palace,12
West Bromwich Albion,12
Leicester City,12
West Ham United,12
Burnley,11
Stoke City,11
Watford,11
Hull City,9
Sunderland,6
Middlesbrough,5
