home_team,total,wins,losses,prop,draws,season,goals,goals_per_game,Goals_Against,cleansheets,cleansheets_prop
Manchester United,38,28,5,0.7368421052631579,5,2006-2007,83.0,2.1842105263157894,27.0,16,0.42105263157894735
Chelsea,38,24,3,0.631578947368421,11,2006-2007,64.0,1.6842105263157894,24.0,22,0.5789473684210527
Liverpool,38,20,10,0.5263157894736842,8,2006-2007,57.0,1.5,27.0,20,0.5263157894736842
Arsenal,38,19,8,0.5,11,2006-2007,63.0,1.6578947368421053,35.0,12,0.3157894736842105
Tottenham Hotspur,38,17,12,0.4473684210526316,9,2006-2007,57.0,1.5,54.0,6,0.15789473684210525
Reading,38,16,15,0.42105263157894735,7,2006-2007,52.0,1.368421052631579,47.0,13,0.34210526315789475
Bolton Wanderers,38,16,14,0.42105263157894735,8,2006-2007,47.0,1.236842105263158,52.0,12,0.3157894736842105
Everton,38,15,10,0.39473684210526316,13,2006-2007,52.0,1.368421052631579,36.0,14,0.3684210526315789
Blackburn Rovers,38,15,16,0.39473684210526316,7,2006-2007,52.0,1.368421052631579,54.0,8,0.21052631578947367
Portsmouth,38,14,12,0.3684210526315789,12,2006-2007,45.0,1.1842105263157894,42.0,12,0.3157894736842105
Middlesbrough,38,12,16,0.3157894736842105,10,2006-2007,44.0,1.1578947368421053,49.0,9,0.23684210526315788
West Ham United,38,12,21,0.3157894736842105,5,2006-2007,35.0,0.9210526315789473,59.0,9,0.23684210526315788
Newcastle United,38,11,17,0.2894736842105263,10,2006-2007,38.0,1.0,47.0,7,0.18421052631578946
Aston Villa,38,11,10,0.2894736842105263,17,2006-2007,43.0,1.131578947368421,41.0,13,0.34210526315789475
Manchester City,38,11,18,0.2894736842105263,9,2006-2007,29.0,0.7631578947368421,44.0,14,0.3684210526315789
Sheffield United,38,10,20,0.2631578947368421,8,2006-2007,32.0,0.8421052631578947,55.0,9,0.23684210526315788
Wigan Athletic,38,10,20,0.2631578947368421,8,2006-2007,37.0,0.9736842105263158,59.0,10,0.2631578947368421
Fulham,38,8,15,0.21052631578947367,15,2006-2007,38.0,1.0,60.0,7,0.18421052631578946
Charlton Athletic,38,8,20,0.21052631578947367,10,2006-2007,34.0,0.8947368421052632,60.0,11,0.2894736842105263
Watford,38,5,20,0.13157894736842105,13,2006-2007,29.0,0.7631578947368421,59.0,9,0.23684210526315788
