home_team,away_team,home_goals,away_goals,result,season,total_goals
Hull City,Leicester City,2.0,1.0,H,2016-2017,3.0
Burnley,Swansea City,0.0,1.0,A,2016-2017,1.0
Crystal Palace,West Bromwich Albion,0.0,1.0,A,2016-2017,1.0
Everton,Tottenham Hotspur,1.0,1.0,D,2016-2017,2.0
Middlesbrough,Stoke City,1.0,1.0,D,2016-2017,2.0
Southampton,Watford,1.0,1.0,D,2016-2017,2.0
Manchester City,Sunderland,2.0,1.0,H,2016-2017,3.0
AFC Bournemouth,Manchester United,1.0,3.0,A,2016-2017,4.0
Arsenal,Liverpool,3.0,4.0,A,2016-2017,7.0
Chelsea,West Ham United,2.0,1.0,H,2016-2017,3.0
Manchester United,Southampton,2.0,0.0,H,2016-2017,2.0
Stoke City,Manchester City,1.0,4.0,A,2016-2017,5.0
Burnley,Liverpool,2.0,0.0,H,2016-2017,2.0
Swansea City,Hull City,0.0,2.0,A,2016-2017,2.0
Tottenham Hotspur,Crystal Palace,1.0,0.0,H,2016-2017,1.0
Watford,Chelsea,1.0,2.0,A,2016-2017,3.0
West Bromwich Albion,Everton,1.0,2.0,A,2016-2017,3.0
Leicester City,Arsenal,0.0,0.0,D,2016-2017,0.0
Sunderland,Middlesbrough,1.0,2.0,A,2016-2017,3.0
West Ham United,AFC Bournemouth,1.0,0.0,H,2016-2017,1.0
Tottenham Hotspur,Liverpool,1.0,1.0,D,2016-2017,2.0
Chelsea,Burnley,3.0,0.0,H,2016-2017,3.0
Crystal Palace,AFC Bournemouth,1.0,1.0,D,2016-2017,2.0
Everton,Stoke City,1.0,0.0,H,2016-2017,1.0
Leicester City,Swansea City,2.0,1.0,H,2016-2017,3.0
Southampton,Sunderland,1.0,1.0,D,2016-2017,2.0
Watford,Arsenal,1.0,3.0,A,2016-2017,4.0
Hull City,Manchester United,0.0,1.0,A,2016-2017,1.0
West Bromwich Albion,Middlesbrough,0.0,0.0,D,2016-2017,0.0
Manchester City,West Ham United,3.0,1.0,H,2016-2017,4.0
Manchester United,Manchester City,1.0,2.0,A,2016-2017,3.0
Arsenal,Southampton,2.0,1.0,H,2016-2017,3.0
AFC Bournemouth,West Bromwich Albion,1.0,0.0,H,2016-2017,1.0
Burnley,Hull City,1.0,1.0,D,2016-2017,2.0
Middlesbrough,Crystal Palace,1.0,2.0,A,2016-2017,3.0
